"ClientId","DataUltimaTransacao"
346618,2019-10-02
346619,2019-10-24
346620,2019-10-15
346621,2019-10-03
346622,2019-10-06
346623,2019-10-24
346624,2019-10-18
346625,2019-08-18
346626,2019-10-04
346627,2019-10-10
346628,2019-10-13
346629,2019-10-05
346630,2019-08-01
346631,2019-10-23
346632,2019-10-15
346633,2019-09-12
346634,2019-08-05
346635,2019-10-01
346636,2019-07-22
346637,2019-07-30
346638,2019-08-05
346639,2019-10-22
346640,2019-10-02
346641,2019-10-05
346642,2019-10-02
346643,2019-10-18
346644,2019-10-27
346645,2019-10-24
346646,2019-10-21
346647,2019-10-07
346648,2019-10-12
346649,2019-10-30
346650,2019-09-23
346651,2019-10-26
346652,2019-10-24
346653,2019-07-27
346654,2019-09-21
346655,2019-10-15
346656,2019-10-25
346657,2019-10-23
346658,2019-10-29
346659,2019-10-18
346660,2019-09-09
346661,2019-10-08
346662,2019-10-27
346663,2019-09-08
346664,2019-09-06
346665,2019-10-08
346666,2019-10-25
346667,2019-10-19
346668,2019-10-24
346669,2019-10-26
346670,2019-10-11
346671,2019-10-10
346672,2019-10-22
346673,2019-10-19
346674,2019-10-03
346675,2019-09-23
346676,2019-10-28
346677,2019-10-27
346678,2019-07-05
346679,2019-09-07
346680,2019-10-08
346681,2019-07-11
346682,2019-09-08
346683,2019-10-22
346684,2019-10-14
346685,2019-08-15
346686,2019-10-07
346687,2019-10-03
346688,2019-10-28
346689,2019-10-20
346690,2019-07-23
346691,2019-07-10
346692,2019-08-11
346693,2019-10-04
346694,2019-10-17
346695,2019-10-28
346696,2019-10-09
346697,2019-08-30
346698,2019-10-03
346699,2019-10-24
346700,2019-10-15
346701,2019-10-27
346702,2019-10-24
346703,2019-10-15
346704,2019-10-07
346705,2019-10-27
346706,2019-10-12
346707,2019-10-07
346708,2019-08-16
346709,2019-10-17
346710,2019-10-14
346711,2019-10-14
346712,2019-07-02
346713,2019-10-21
346714,2019-10-19
346715,2019-10-16
346716,2019-10-19
346717,2019-10-24
346718,2019-10-06
346719,2019-10-17
346720,2019-10-29
346721,2019-08-07
346722,2019-10-25
346723,2019-10-07
346724,2019-10-19
346725,2019-10-05
346726,2019-09-10
346727,2019-10-10
346728,2019-08-23
346729,2019-09-11
346730,2019-10-09
346731,2019-10-10
346732,2019-10-24
346733,2019-10-21
346734,2019-10-20
346735,2019-10-16
346736,2019-10-29
346737,2019-10-13
346738,2019-10-13
346739,2019-07-07
346740,2019-10-21
346741,2019-10-21
346742,2019-07-02
346743,2019-10-28
346744,2019-10-29
346745,2019-10-24
346746,2019-09-29
346747,2019-10-05
346748,2019-10-11
346749,2019-10-22
346750,2019-09-11
346751,2019-10-21
346752,2019-10-22
346753,2019-10-10
346754,2019-10-29
346755,2019-08-09
346756,2019-10-12
346757,2019-09-17
346758,2019-10-21
346759,2019-10-12
346760,2019-09-27
346761,2019-08-14
346762,2019-10-11
346763,2019-10-04
346764,2019-10-26
346765,2019-10-12
346766,2019-10-26
346767,2019-10-05
346768,2019-10-03
346769,2019-07-31
346770,2019-10-21
346771,2019-10-27
346772,2019-10-04
346773,2019-10-12
346774,2019-10-18
346775,2019-10-11
346776,2019-10-04
346777,2019-10-13
346778,2019-08-13
346779,2019-10-18
346780,2019-08-19
346781,2019-10-07
346782,2019-08-24
346783,2019-08-29
346784,2019-10-24
346785,2019-10-29
346786,2019-08-16
346787,2019-07-19
346788,2019-10-01
346789,2019-10-25
346790,2019-10-29
346791,2019-10-10
346792,2019-10-04
346793,2019-10-10
346794,2019-10-11
346795,2019-10-12
346796,2019-10-28
346797,2019-10-19
346798,2019-10-07
346799,2019-10-07
346800,2019-07-14
346801,2019-10-19
346802,2019-10-02
346803,2019-10-22
346804,2019-10-08
346805,2019-10-11
346806,2019-10-12
346807,2019-10-19
346808,2019-10-12
346809,2019-10-28
346810,2019-10-17
346811,2019-10-06
346812,2019-10-04
346813,2019-07-18
346814,2019-10-10
346815,2019-10-29
346816,2019-10-08
346817,2019-10-11
346818,2019-10-09
346819,2019-07-01
346820,2019-10-07
346821,2019-10-11
346822,2019-07-16
346823,2019-10-01
346824,2019-10-05
346825,2019-10-14
346826,2019-10-03
346827,2019-10-10
346828,2019-09-01
346829,2019-10-27
346830,2019-10-25
346831,2019-10-22
346832,2019-10-17
346833,2019-07-06
346834,2019-10-14
346835,2019-10-04
346836,2019-10-18
346837,2019-10-10
346838,2019-10-03
346839,2019-10-16
346840,2019-10-11
346841,2019-07-30
346842,2019-10-15
346843,2019-10-15
346844,2019-09-20
346845,2019-10-01
346846,2019-10-18
346847,2019-10-22
346848,2019-10-05
346849,2019-09-27
346850,2019-10-11
346851,2019-10-15
346852,2019-10-09
346853,2019-10-17
346854,2019-10-02
346855,2019-10-01
346856,2019-10-18
346857,2019-08-13
346858,2019-10-15
346859,2019-10-18
346860,2019-10-10
346861,2019-10-10
346862,2019-10-23
346863,2019-10-24
346864,2019-10-22
346865,2019-10-23
346866,2019-10-24
346867,2019-10-15
346868,2019-10-16
346869,2019-10-19
346870,2019-10-07
346871,2019-09-29
346872,2019-10-22
346873,2019-08-15
346874,2019-08-09
346875,2019-10-18
346876,2019-10-10
346877,2019-10-02
346878,2019-10-28
346879,2019-10-02
346880,2019-07-15
346881,2019-10-29
346882,2019-07-12
346883,2019-10-17
346884,2019-10-11
346885,2019-07-26
346886,2019-07-05
346887,2019-10-29
346888,2019-10-09
346889,2019-10-18
346890,2019-10-21
346891,2019-09-17
346892,2019-10-16
346893,2019-10-05
346894,2019-10-27
346895,2019-10-01
346896,2019-08-19
346897,2019-08-31
346898,2019-10-14
346899,2019-10-15
346900,2019-10-04
346901,2019-10-07
346902,2019-10-26
346903,2019-09-11
346904,2019-10-22
346905,2019-10-29
346906,2019-10-03
346907,2019-10-05
346908,2019-07-30
346909,2019-07-03
346910,2019-10-07
346911,2019-10-09
346912,2019-08-04
346913,2019-10-21
346914,2019-10-24
346915,2019-10-14
346916,2019-10-11
346917,2019-10-19
346918,2019-10-20
346919,2019-08-28
346920,2019-08-04
346921,2019-10-11
346922,2019-08-09
346923,2019-10-11
346924,2019-10-14
346925,2019-10-18
346926,2019-10-09
346927,2019-10-19
346928,2019-10-30
346929,2019-10-14
346930,2019-10-30
346931,2019-10-03
346932,2019-10-07
346933,2019-09-25
346934,2019-10-28
346935,2019-08-28
346936,2019-10-08
346937,2019-09-30
346938,2019-10-19
346939,2019-10-22
346940,2019-10-28
346941,2019-09-10
346942,2019-10-19
346943,2019-10-22
346944,2019-09-04
346945,2019-10-10
346946,2019-10-12
346947,2019-10-29
346948,2019-10-03
346949,2019-07-12
346950,2019-10-06
346951,2019-10-28
346952,2019-08-16
346953,2019-10-01
346954,2019-10-18
346955,2019-10-07
346956,2019-07-19
346957,2019-08-19
346958,2019-10-15
346959,2019-07-24
346960,2019-10-09
346961,2019-10-23
346962,2019-10-20
346963,2019-10-04
